S. No.,Banks,Year(Month),Solvency Core Capital,Total C a pital Fund,CCAR# (In %),CAR# (In %),Liquidity Total Deposit,LCY Deposit,Total Loan,L C Y L o an,CCD R a t i o * (In %),Net Liquidity (In %),SLR (In %),Base Rate (In %),Spread (In %),NPL* (In %),Net NPL (In %),Total Priority Sector Loan,Public Deposit
1,Nepal Bank Ltd.,2077(12),23220,24861,14.37,15.38,153490,153067,136215,136212,74.55,25.47,22.32,5.98,4.37,2.29,,50.88,97563
2,Rastriya Banijya Bank Ltd.,2077(12),22310,24539,11.71,12.88,244287,242056,180576,180576,68.57,37.9,35.42,5.5,4.4,3.62,,39.14,187831
3,Agriculture Dev. Bank Ltd.,2077(12),28660,39103,15.47,21.1,145493,145487,145224,145224,77.3,26.82,24.29,7.48,4.35,3.08,,51.95,91661
,Sub Total,2077(12),74190,88503,13.8,16.47,543270,540610,462015,462012,72.81,31.43,28.73,6.32,4.37,3.06,,46.57,377054
4,Nabil Bank Ltd.,2077(12),24470,29024,10.35,12.28,214480,199100,193461,180926,81.25,23.58,20.98,6.18,3.2,0.48,,22.71,112104
5,Nepal Investment Bank Ltd.,2077(12),25682,34212,11.1,14.78,167730,157127,165580,149486,79.5,25.03,21.73,5.9,3.57,2.32,,23.18,94106
6,Standard Chartered Bank Nepal Ltd.,2077(12),14884,16248,16.36,17.86,84102,68480,65515,62230,74.23,42.54,32.22,5.33,4.05,0.5,,7.32,47391
7,Himalayan Bank Ltd.,2077(12),17041,21315,10.55,13.19,137798,123671,127650,112663,75.97,23.5,23.02,6.75,3.34,0.81,,24.48,78678
8,Nepal SBI Bank Ltd.,2077(12),14454,17918,11.42,14.15,101159,99777,101784,89994,75.24,20.75,24.67,7.46,3.33,0.23,,23.78,56916
9,Nepal Bangladesh Bank Ltd.,2077(12),13578,16555,11.3,13.77,75281,74576,68831,67865,76.15,29.81,23.48,7.45,4.02,1.91,,28.55,30941
10,Everest Bank Ltd.,2077(12),16890,18681,11.59,12.82,156348,153137,127095,121578,69.75,41.03,28.95,6.09,3.36,0.12,,15.9,89639
11,Bank of Kathmandu Ltd.,2077(12),14089,16678,11.72,13.88,97820,96500,97953,92201,83.28,25.16,21.97,7.6,3.26,1.86,,20.78,52225
12,Nepal Credit and Commerce Bank Ltd.,2077(12),13392,17620,10.47,13.78,105096,103537,94086,91708,75.89,23.04,20.31,7.41,3.74,2.05,,24.32,45352
13,NIC Asia Bank Ltd.,2077(12),17943,28287,7.26,11.44,295613,286427,259999,259992,82.87,20.24,15.63,6.77,4.38,0.47,,24.52,148303
14,Machhapuchhre Bank Ltd.,2077(12),11682,16038,8.56,11.75,126681,120542,115352,109241,80.39,22.52,18.06,7.09,4.04,0.51,,27.17,78702
15,Kumari Bank Ltd.,2077(12),16964,21686,10.94,13.98,138858,134840,134705,125056,81.6,20.15,22.13,7.63,3.19,1.09,,23.85,74838
16,Laxmi Bank Ltd.,2077(12),12937,16405,9.24,11.72,110678,106144,105986,99071,78.56,20.73,15.36,6.79,3.59,0.71,,28.52,69149
17,Siddharth Bank Ltd.,2077(12),16026,25186,8.51,13.37,175752,173512,159228,153010,77.83,24.7,15.82,6.99,3.9,0.88,,29.73,95688
18,GlobalIME Bank Ltd.,2077(12),29056,36321,10.57,13.22,258534,255569,235543,223953,76.66,26.92,23.44,6.4,4,1.61,,26.83,153639
19,Citizens Bank International Ltd.,2077(12),15369,18957,11.24,13.86,128858,127041,113898,113898,78.9,23.87,23.52,7.44,3.86,1.83,,29.86,72090
