time,symbol,open,close,high,low,volume,category
2011-03-25,FLOAT,32.0,32.0,32.0,32.0,0,index
2011-03-27,FLOAT,31.0,31.0,31.0,31.0,0,index
2011-03-28,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-03-29,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-03-30,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-03-31,FLOAT,31.0,31.0,31.0,31.0,0,index
2011-04-04,FLOAT,31.0,31.0,31.0,31.0,0,index
2011-04-05,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-06,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-07,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-10,FLOAT,31.0,31.0,31.0,31.0,0,index
2011-04-11,FLOAT,31.0,31.0,31.0,31.0,0,index
2011-04-13,FLOAT,31.0,31.0,31.0,31.0,0,index
2011-04-17,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-18,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-19,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-20,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-21,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-25,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-26,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-04-27,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-04-28,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-02,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-03,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-04,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-05,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-08,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-09,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-10,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-11,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-12,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-15,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-16,FLOAT,30.0,30.0,30.0,30.0,0,index
2011-05-18,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-19,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-22,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-23,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-24,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-25,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-26,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-30,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-05-31,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-06-01,FLOAT,29.0,29.0,29.0,29.0,0,index
2011-06-02,FLOAT,28.0,28.0,28.0,28.0,0,index
2011-06-06,FLOAT,27.0,27.0,27.0,27.0,0,index
2011-06-07,FLOAT,27.0,27.0,27.0,27.0,0,index
2011-06-08,FLOAT,26.0,26.0,26.0,26.0,0,index
2011-06-09,FLOAT,26.0,26.0,26.0,26.0,0,index
2011-06-12,FLOAT,26.0,26.0,26.0,26.0,0,index
2011-06-13,FLOAT,25.0,25.0,25.0,25.0,0,index
2011-06-14,FLOAT,25.0,25.0,25.0,25.0,0,index
