time,symbol,open,close,high,low,volume,category
2011-03-25,SENFLOAT,28.0,28.0,28.0,28.0,0,index
2011-03-27,SENFLOAT,28.0,28.0,28.0,28.0,0,index
2011-03-28,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-03-29,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-03-30,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-03-31,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-04,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-05,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-06,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-07,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-10,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-11,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-13,SENFLOAT,28.0,28.0,28.0,28.0,0,index
2011-04-17,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-18,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-19,SENFLOAT,27.0,27.0,27.0,27.0,0,index
2011-04-20,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-04-21,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-04-25,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-04-26,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-04-27,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-04-28,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-02,SENFLOAT,25.0,25.0,25.0,25.0,0,index
2011-05-03,SENFLOAT,25.0,25.0,25.0,25.0,0,index
2011-05-04,SENFLOAT,25.0,25.0,25.0,25.0,0,index
2011-05-05,SENFLOAT,25.0,25.0,25.0,25.0,0,index
2011-05-08,SENFLOAT,25.0,25.0,25.0,25.0,0,index
2011-05-09,SENFLOAT,25.0,25.0,25.0,25.0,0,index
2011-05-10,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-11,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-12,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-15,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-16,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-18,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-19,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-22,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-23,SENFLOAT,26.0,26.0,26.0,26.0,0,index
2011-05-24,SENFLOAT,26.0,26.0,26.0,26.0,0,index
