version https://git-lfs.github.com/spec/v1
oid sha256:24c72ec44036ff9ad371650afed24da5f366ed220684d17676c080fdfd6be91c
size 207193
time,symbol,open,close,high,low,volume,category
2011-03-25,SENSITIVE,93.0,93.0,93.0,93.0,0,index
2011-03-27,SENSITIVE,92.0,92.0,92.0,92.0,0,index
2011-03-28,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-03-29,SENSITIVE,88.0,88.0,88.0,88.0,0,index
2011-03-30,SENSITIVE,88.0,88.0,88.0,88.0,0,index
2011-03-31,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-04,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-05,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-06,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-07,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-10,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-11,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-13,SENSITIVE,92.0,92.0,92.0,92.0,0,index
2011-04-17,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-18,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-04-19,SENSITIVE,89.0,89.0,89.0,89.0,0,index
2011-04-20,SENSITIVE,88.0,88.0,88.0,88.0,0,index
2011-04-21,SENSITIVE,88.0,88.0,88.0,88.0,0,index
2011-04-25,SENSITIVE,87.0,87.0,87.0,87.0,0,index
2011-04-26,SENSITIVE,87.0,87.0,87.0,87.0,0,index
2011-04-27,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-04-28,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-02,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-03,SENSITIVE,82.0,82.0,82.0,82.0,0,index
2011-05-04,SENSITIVE,82.0,82.0,82.0,82.0,0,index
2011-05-05,SENSITIVE,82.0,82.0,82.0,82.0,0,index
2011-05-08,SENSITIVE,83.0,83.0,83.0,83.0,0,index
2011-05-09,SENSITIVE,83.0,83.0,83.0,83.0,0,index
2011-05-10,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-05-11,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-05-12,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-15,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-16,SENSITIVE,86.0,86.0,86.0,86.0,0,index
2011-05-18,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-19,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-22,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-23,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-05-24,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-05-25,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-05-26,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-30,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-05-31,SENSITIVE,83.0,83.0,83.0,83.0,0,index
2011-06-01,SENSITIVE,83.0,83.0,83.0,83.0,0,index
2011-06-02,SENSITIVE,82.0,82.0,82.0,82.0,0,index
2011-06-05,SENSITIVE,81.0,81.0,81.0,81.0,0,index
2011-06-06,SENSITIVE,80.0,80.0,80.0,80.0,0,index
2011-06-07,SENSITIVE,78.0,78.0,78.0,78.0,0,index
2011-06-08,SENSITIVE,76.0,76.0,76.0,76.0,0,index
2011-06-09,SENSITIVE,75.0,75.0,75.0,75.0,0,index
2011-06-12,SENSITIVE,74.0,74.0,74.0,74.0,0,index
2011-06-13,SENSITIVE,74.0,74.0,74.0,74.0,0,index
2011-06-14,SENSITIVE,73.0,73.0,73.0,73.0,0,index
2011-06-15,SENSITIVE,71.0,71.0,71.0,71.0,0,index
2011-06-16,SENSITIVE,74.0,74.0,74.0,74.0,0,index
2011-06-19,SENSITIVE,78.0,78.0,78.0,78.0,0,index
2011-06-20,SENSITIVE,81.0,81.0,81.0,81.0,0,index
2011-06-21,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-06-23,SENSITIVE,90.0,90.0,90.0,90.0,0,index
2011-06-26,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-06-27,SENSITIVE,80.0,80.0,80.0,80.0,0,index
2011-06-29,SENSITIVE,81.0,81.0,81.0,81.0,0,index
2011-06-30,SENSITIVE,82.0,82.0,82.0,82.0,0,index
2011-07-03,SENSITIVE,81.0,81.0,81.0,81.0,0,index
2011-07-04,SENSITIVE,82.0,82.0,82.0,82.0,0,index
2011-07-05,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-07-06,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-07-07,SENSITIVE,83.0,83.0,83.0,83.0,0,index
2011-07-10,SENSITIVE,85.0,85.0,85.0,85.0,0,index
2011-07-11,SENSITIVE,84.0,84.0,84.0,84.0,0,index
2011-07-12,SENSITIVE,86.0,86.0,86.0,86.0,0,index
2011-07-13,SENSITIVE,87.0,87.0,87.0,87.0,0,index
2011-07-14,SENSITIVE,89.0,89.0,89.0,89.0,0,index
2011-07-17,SENSITIVE,93.0,93.0,93.0,93.0,0,index
2011-07-18,SENSITIVE,91.0,91.0,91.0,91.0,0,index
2011-07-19,SENSITIVE,92.0,92.0,92.0,92.0,0,index
2011-07-20,SENSITIVE,93.0,93.0,93.0,93.0,0,index
2011-07-21,SENSITIVE,93.0,93.0,93.0,93.0,0,index
