bank_code,year_month,close,high,low,per_change,traded_quantity,traded_amount
ADBL,2010-09,118.9,122.0,115.0,-0.07,52980.0,0.0
ADBL,2010-10,132.88,149.0,117.0,1.28,103073.0,0.0
ADBL,2010-11,158.89,172.0,141.0,0.38,133203.0,0.0
ADBL,2010-12,138.7,157.0,131.0,-0.37,92215.0,0.0
ADBL,2011-01,137.63,145.0,124.0,0.05,88086.0,0.0
ADBL,2011-02,138.25,147.0,128.0,-0.39,61992.0,0.0
ADBL,2011-03,132.82,139.0,125.0,0.02,42765.0,1941792.0
ADBL,2011-04,125.81,132.0,119.0,-0.38,34652.0,4367375.0
ADBL,2011-05,128.9,138.0,119.0,0.33,38034.0,4890228.0
ADBL,2011-06,127.22,151.0,114.0,0.38,18791.0,2352842.0
ADBL,2011-07,128.47,138.0,120.0,-0.55,33821.0,4324319.0
ADBL,2011-08,125.5,130.0,121.0,-0.11,31513.0,3947990.0
ADBL,2011-09,119.37,126.0,114.0,-0.16,29353.0,3504391.0
ADBL,2011-10,117.5,121.0,114.0,0.07,25772.0,3049986.0
ADBL,2011-11,125.19,163.0,114.0,1.54,41132.0,5292678.0
ADBL,2011-12,115.0,123.0,112.0,-1.52,27813.0,3179236.0
ADBL,2012-01,113.55,118.0,110.0,-0.2,36596.0,4149351.0
ADBL,2012-02,109.28,113.0,105.0,-0.1,26994.0,2946804.0
ADBL,2012-03,104.89,109.0,101.0,-0.14,24027.0,2514440.0
ADBL,2012-04,120.29,159.0,104.0,1.47,52378.0,6757253.0
ADBL,2012-05,135.95,153.0,119.0,-0.29,81479.0,11219571.0
ADBL,2012-06,135.95,146.0,122.0,0.53,58095.0,7958393.0
ADBL,2012-07,164.3,200.0,140.0,1.06,162499.0,28178554.0
ADBL,2012-08,172.42,184.0,160.0,-0.12,93914.0,16267317.0
ADBL,2012-09,174.45,183.0,166.0,0.12,92332.0,16138437.0
ADBL,2012-10,176.62,189.0,172.0,0.25,52465.0,9252212.0
ADBL,2012-11,198.59,216.0,179.0,0.77,80611.0,16173403.0
ADBL,2012-12,214.25,255.0,200.0,0.78,106215.0,22997396.0
ADBL,2013-01,247.52,287.0,233.0,-0.03,140472.0,35062542.0
ADBL,2013-02,249.11,281.0,236.0,0.37,62359.0,15503573.0
ADBL,2013-03,253.78,275.0,238.0,-0.21,86011.0,21912907.0
ADBL,2013-04,239.11,250.0,225.0,-0.22,52591.0,12547496.0
ADBL,2013-05,221.35,239.0,201.0,-0.03,46081.0,10241315.0
ADBL,2013-06,211.52,230.0,200.0,-0.48,64033.0,13578464.0
ADBL,2013-07,216.3,239.0,201.0,0.48,80408.0,17348950.0
ADBL,2013-08,262.28,299.0,228.0,1.01,197087.0,51752620.0
ADBL,2013-09,257.95,278.0,239.0,-0.3,92374.0,23925413.0
ADBL,2013-10,272.5,293.0,250.0,0.4,117641.0,32036859.0
ADBL,2013-11,301.17,342.0,263.0,1.99,154559.0,49126867.0
ADBL,2013-12,435.9,518.0,341.0,1.57,462531.0,202652114.0
ADBL,2014-01,484.7,522.0,416.0,0.48,568461.0,274977658.0
ADBL,2014-02,505.12,550.0,475.0,0.06,293641.0,149135208.0
ADBL,2014-03,482.75,538.0,443.0,-0.12,273812.0,133157823.0
ADBL,2014-04,480.05,495.0,460.0,-0.05,187900.0,90045742.0
ADBL,2014-05,450.94,485.0,433.0,-0.33,49456.0,22298647.0
ADBL,2014-06,480.14,539.0,440.0,0.78,163000.0,79117389.0
ADBL,2014-07,662.91,770.0,511.0,1.1,571401.0,379112483.0
ADBL,2014-08,611.61,670.0,527.0,-1.12,289742.0,178679339.0
ADBL,2014-09,509.0,555.0,450.0,-0.13,144549.0,74233494.0
ADBL,2014-10,507.0,524.0,490.0,-0.33,39550.0,19964461.0
ADBL,2014-11,466.16,493.0,415.0,-0.54,67534.0,31435436.0
ADBL,2014-12,469.86,505.0,435.0,0.33,61312.0,28756521.0
ADBL,2015-01,482.37,513.0,465.0,0.28,106791.0,51893031.0
ADBL,2015-02,476.32,496.0,456.0,-0.27,63465.0,30176366.0
ADBL,2015-03,474.19,504.0,451.0,-0.13,48154.0,22867164.0
ADBL,2015-04,455.56,482.0,429.0,-0.38,59105.0,27027551.0
ADBL,2015-05,386.17,424.0,360.0,-1.19,5850.0,2254944.0
ADBL,2015-06,421.67,463.0,390.0,0.21,63056.0,26504155.0
ADBL,2015-07,434.05,521.0,403.0,0.48,56187.0,24274057.0
ADBL,2015-08,481.73,548.0,436.0,0.53,153562.0,73719786.0
ADBL,2015-09,477.0,511.0,442.0,-0.53,70369.0,33497643.0
ADBL,2015-10,476.47,544.0,435.0,0.37,163749.0,83041281.0
ADBL,2015-11,458.42,485.0,420.0,-0.43,59832.0,27158149.0
ADBL,2015-12,475.59,559.0,439.0,0.8,169397.0,83568228.0
ADBL,2016-01,551.45,615.0,495.0,0.58,340413.0,192082516.0
ADBL,2016-02,586.84,609.0,555.0,0.15,191150.0,112057905.0
ADBL,2016-03,655.74,734.0,580.0,0.63,462237.0,311626798.0
