source,target,correlation,abs_correlation,relationship_type
CZBIL,SANIMA,0.97994487494966,0.97994487494966,positive
SBI,SCB,0.9711059255631418,0.9711059255631418,positive
EBL,SBI,0.9673198436765706,0.9673198436765706,positive
EBL,SCB,0.9580399206823362,0.9580399206823362,positive
GBIME,PCBL,0.9428093777228108,0.9428093777228108,positive
GBIME,NABIL,0.9342169442591619,0.9342169442591619,positive
HBL,SBI,0.9328852372102007,0.9328852372102007,positive
CZBIL,NABIL,0.9304075378451598,0.9304075378451598,positive
NABIL,PCBL,0.930356417397214,0.930356417397214,positive
HBL,SCB,0.9265727783205067,0.9265727783205067,positive
CZBIL,SBI,0.9250912234430334,0.9250912234430334,positive
CZBIL,EBL,0.924384104257061,0.924384104257061,positive
MBL,SBL,0.9232727314313633,0.9232727314313633,positive
CZBIL,MBL,0.9231893284588532,0.9231893284588532,positive
EBL,HBL,0.9215493074634735,0.9215493074634735,positive
CZBIL,PCBL,0.9207486602124996,0.9207486602124996,positive
EBL,MBL,0.9163825728351064,0.9163825728351064,positive
EBL,SANIMA,0.9118378874519181,0.9118378874519181,positive
HBL,NABIL,0.9118230619102442,0.9118230619102442,positive
GBIME,PRVU,0.9110313410371309,0.9110313410371309,positive
NABIL,SANIMA,0.9094549427939422,0.9094549427939422,positive
MBL,SANIMA,0.909360774360791,0.909360774360791,positive
PCBL,SANIMA,0.9074051689219538,0.9074051689219538,positive
SANIMA,SBI,0.9030120711156291,0.9030120711156291,positive
HBL,PCBL,0.9027707433800246,0.9027707433800246,positive
CZBIL,SCB,0.9017371783527576,0.9017371783527576,positive
CZBIL,HBL,0.8995481282658851,0.8995481282658851,positive
PCBL,PRVU,0.8944745964728071,0.8944745964728071,positive
MBL,NABIL,0.8938455587447915,0.8938455587447915,positive
CZBIL,GBIME,0.8925107899175415,0.8925107899175415,positive
ADBL,PCBL,0.8850638704014886,0.8850638704014886,positive
GBIME,SANIMA,0.8847177162946183,0.8847177162946183,positive
MBL,PCBL,0.8835533456145266,0.8835533456145266,positive
HBL,SANIMA,0.8818047229051098,0.8818047229051098,positive
GBIME,KBL,0.8806295758768845,0.8806295758768845,positive
EBL,SBL,0.8806030539817733,0.8806030539817733,positive
MBL,SBI,0.8803632747382938,0.8803632747382938,positive
EBL,NABIL,0.8737843176754015,0.8737843176754015,positive
MBL,SCB,0.8726513110539105,0.8726513110539105,positive
SANIMA,SCB,0.8715379087066601,0.8715379087066601,positive
GBIME,HBL,0.8672541939034771,0.8672541939034771,positive
SBI,SBL,0.8654246193790631,0.8654246193790631,positive
HBL,MBL,0.8652382173069451,0.8652382173069451,positive
GBIME,MBL,0.8623719283435292,0.8623719283435292,positive
KBL,PCBL,0.857428300364684,0.857428300364684,positive
EBL,PCBL,0.8534592394693451,0.8534592394693451,positive
PCBL,SBI,0.8515340002944909,0.8515340002944909,positive
KBL,SBL,0.8510374865549638,0.8510374865549638,positive
NABIL,SCB,0.8489345736135142,0.8489345736135142,positive
NABIL,SBI,0.847743766990317,0.847743766990317,positive
CZBIL,KBL,0.847006262926752,0.847006262926752,positive
CZBIL,SBL,0.8466729729324711,0.8466729729324711,positive
ADBL,HBL,0.8437272890631364,0.8437272890631364,positive
ADBL,MBL,0.8436713744448104,0.8436713744448104,positive
KBL,NABIL,0.8436590927118774,0.8436590927118774,positive
ADBL,GBIME,0.8416963145850669,0.8416963145850669,positive
KBL,PRVU,0.8397387817644707,0.8397387817644707,positive
PCBL,SBL,0.8360944721394203,0.8360944721394203,positive
PCBL,SCB,0.8332802934302728,0.8332802934302728,positive
ADBL,CZBIL,0.8315372609809485,0.8315372609809485,positive
EBL,KBL,0.8314646190776154,0.8314646190776154,positive
HBL,SBL,0.8311199284977696,0.8311199284977696,positive
NABIL,PRVU,0.8307736422648998,0.8307736422648998,positive
ADBL,SBL,0.8306016675162338,0.8306016675162338,positive
ADBL,SANIMA,0.8252591594701878,0.8252591594701878,positive
ADBL,NBL,0.8251289454686802,0.8251289454686802,positive
NBB,SBL,0.8251150166134569,0.8251150166134569,positive
SBL,SCB,0.8246417511278916,0.8246417511278916,positive
GBIME,SBL,0.8206423833950467,0.8206423833950467,positive
SANIMA,SBL,0.8198327534548974,0.8198327534548974,positive
KBL,SBI,0.8191475485591896,0.8191475485591896,positive
NABIL,SBL,0.8179389412040096,0.8179389412040096,positive
HBL,KBL,0.8175014123632364,0.8175014123632364,positive
KBL,SANIMA,0.8156093636507133,0.8156093636507133,positive
KBL,MBL,0.8136818363051803,0.8136818363051803,positive
EBL,GBIME,0.8068744069413505,0.8068744069413505,positive
ADBL,NABIL,0.8032677976330846,0.8032677976330846,positive
NBL,PRVU,0.7992075046385672,0.7992075046385672,positive
MBL,NBB,0.7990458542714318,0.7990458542714318,positive
KBL,SCB,0.7913669635886593,0.7913669635886593,positive
EBL,NBB,0.7899854053812411,0.7899854053812411,positive
GBIME,SBI,0.7870747883597171,0.7870747883597171,positive
ADBL,SBI,0.7845832007287483,0.7845832007287483,positive
CZBIL,PRVU,0.7826942834087086,0.7826942834087086,positive
ADBL,PRVU,0.7784894794634882,0.7784894794634882,positive
GBIME,NBL,0.7747871635956115,0.7747871635956115,positive
GBIME,SCB,0.7721994296390843,0.7721994296390843,positive
