bank_code,avg_close_price,price_volatility,min_price,max_price,latest_price,avg_daily_return,return_volatility,max_loss,max_gain,total_volume,avg_daily_volume,total_value_traded,avg_daily_value,first_trading_date,last_trading_date,bank_name
ADBL,362.52,154.34,101.0,1082.0,295.1,0.07,2.33,-32.16,32.2,97010101.0,27598.89,39477255407.88,11231082.62,2010-09-16,2026-02-04,Agricultural Development Bank
CZBIL,316.92,153.87,150.0,838.0,194.6,0.03,3.31,-57.76,130.34,142008558.0,37718.08,42875440236.88,11387899.13,2009-06-25,2026-02-04,Citizens Bank
EBL,1172.2,804.88,413.0,3795.0,670.0,0.03,2.29,-43.57,15.89,86891057.0,25822.01,75160019115.0,22335815.49,2011-05-26,2026-02-04,Everest Bank
GBIME,351.51,120.4,172.0,753.0,225.8,0.04,2.04,-18.64,10.0,237972642.0,90794.6,75470196266.35,28794428.18,2012-09-26,2026-02-04,Global IME Bank
HBL,625.24,337.48,170.0,1695.0,189.0,0.01,2.25,-25.26,10.0,57830736.0,18655.08,19341411860.23,6239165.12,2011-04-18,2026-02-04,Himalayan Bank
KBL,274.52,106.58,130.4,626.0,184.1,0.03,2.5,-36.24,20.66,311053281.0,98031.29,76083795745.12,23978504.8,2011-03-20,2026-02-04,Kumari Bank
MBL,299.2,140.98,98.0,923.0,224.2,0.06,2.37,-31.29,20.17,147882056.0,49048.77,43730480173.5,14504305.2,2011-03-29,2026-02-04,Machhapuchchhre Bank
NABIL,1225.69,594.7,422.0,2750.0,496.1,0.02,2.14,-26.93,20.87,115873666.0,34434.97,107798301412.89,32035156.44,2011-05-15,2026-02-04,Nabil Bank
NBB,375.46,216.02,102.0,1218.0,400.0,0.09,2.87,-34.38,16.39,120577160.0,50240.48,50259053932.6,20941272.47,2011-05-10,2022-01-12,Nepal Bangladesh Bank
NBL,326.56,93.82,145.0,897.0,241.0,0.01,2.45,-72.74,10.0,264398688.0,89173.25,93925685084.37,31678139.99,2013-02-12,2026-02-04,Nepal Bank Limited
NICA,600.84,199.39,298.0,1073.0,326.0,0.02,2.09,-29.79,10.0,172341967.0,60154.26,109300147291.47,38150138.67,2013-07-29,2026-02-04,NIC Asia Bank
PCBL,346.19,132.97,155.0,914.0,235.8,0.05,2.26,-23.81,20.65,163358704.0,48546.42,55603416129.42,16524046.4,2011-05-26,2026-02-04,Prime Commercial Bank
PRVU,266.31,89.97,133.4,519.0,184.0,0.01,2.08,-19.87,10.0,264535186.0,119428.98,74833016291.26,33784657.47,2015-02-15,2026-02-04,Prabhu Bank
SANIMA,386.93,151.08,160.0,929.0,330.0,0.06,2.14,-25.51,10.0,160791823.0,50803.1,61849267418.93,19541632.68,2012-04-12,2026-02-04,Sanima Bank
SBI,667.07,408.4,256.9,2088.0,400.0,0.03,2.25,-24.98,10.0,66256451.0,19689.88,32511117061.3,9661550.39,2011-03-29,2026-02-04,Nepal SBI Bank
SBL,418.21,209.14,171.0,1416.0,380.8,0.06,2.4,-29.04,24.56,134809659.0,41931.46,56296803395.41,17510669.8,2011-06-02,2026-02-04,Siddhartha Bank
SCB,1290.79,857.64,383.1,3895.0,631.0,0.01,2.23,-49.11,11.25,47597902.0,14144.99,40065003499.09,11906390.34,2011-06-02,2026-02-04,Standard Chartered Bank
